name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,time_per_query
"BM_lower_bound/1",284733205,2.44823,2.44353,ns,,,,,,2.44353e-09
"BM_lower_bound/2",227317527,3.018,3.01781,ns,,,,,,3.01781e-09
"BM_lower_bound/3",144533579,7.75889,7.75878,ns,,,,,,7.75878e-09
"BM_lower_bound/4",66952590,10.5035,10.5032,ns,,,,,,1.05032e-08
"BM_lower_bound/5",52529427,14.2774,14.2643,ns,,,,,,1.42643e-08
"BM_lower_bound/6",41576579,17.8958,17.8729,ns,,,,,,1.78729e-08
"BM_lower_bound/7",37238966,20.1645,20.1624,ns,,,,,,2.01624e-08
"BM_lower_bound/8",31789822,23.1533,23.1304,ns,,,,,,2.31304e-08
"BM_lower_bound/9",27437269,25.7252,25.6945,ns,,,,,,2.56945e-08
"BM_lower_bound/10",25216045,28.525,28.5238,ns,,,,,,2.85238e-08
"BM_lower_bound/11",21493722,31.7014,31.6916,ns,,,,,,3.16916e-08
"BM_lower_bound/12",19382857,36.4202,36.3455,ns,,,,,,3.63455e-08
"BM_lower_bound/13",17226722,40.0798,40.0791,ns,,,,,,4.00791e-08
"BM_lower_bound/14",16205494,44.2968,44.283,ns,,,,,,4.4283e-08
"BM_lower_bound/15",13336946,47.3206,47.2294,ns,,,,,,4.72294e-08
"BM_lower_bound/16",11844378,55.5451,55.4606,ns,,,,,,5.54606e-08
"BM_lower_bound/17",10696373,62.6328,62.6288,ns,,,,,,6.26288e-08
"BM_lower_bound/18",9841188,69.5862,69.4461,ns,,,,,,6.94461e-08
"BM_lower_bound/19",9419082,76.1174,75.9542,ns,,,,,,7.59542e-08
"BM_lower_bound/20",8033637,87.3328,87.3315,ns,,,,,,8.73315e-08
"BM_lower_bound/21",6391141,115.531,115.512,ns,,,,,,1.15512e-07
"BM_lower_bound/22",5271234,133.478,133.422,ns,,,,,,1.33422e-07
"BM_lower_bound/23",4560833,153.171,152.706,ns,,,,,,1.52706e-07
"BM_lower_bound/24",2301291,244.402,244.388,ns,,,,,,2.44388e-07
"BM_lower_bound/25",1529986,455.072,455.038,ns,,,,,,4.55038e-07
"BM_lower_bound/26",661156,771.13,770.995,ns,,,,,,7.70995e-07
"BM_lower_bound/27",794319,966.018,965.966,ns,,,,,,9.65966e-07
"BM_lower_bound/28",480334,1233.88,1233.75,ns,,,,,,1.23375e-06
"BM_lower_bound/29",524574,1371.99,1368.23,ns,,,,,,1.36823e-06
"BM_lower_bound/30",453250,1540.64,1540.49,ns,,,,,,1.54049e-06
"BM_btree/1",269563801,2.60132,2.60117,ns,,,,,,2.60117e-09
"BM_btree/2",200416511,3.50591,3.50542,ns,,,,,,3.50542e-09
"BM_btree/3",178372574,6.6456,6.64522,ns,,,,,,6.64522e-09
"BM_btree/4",74753717,8.47413,8.47401,ns,,,,,,8.47401e-09
"BM_btree/5",123366749,8.55052,8.55,ns,,,,,,8.55e-09
"BM_btree/6",83590915,8.27903,8.2788,ns,,,,,,8.2788e-09
"BM_btree/7",48915327,12.9216,12.9208,ns,,,,,,1.29208e-08
"BM_btree/8",66335282,11.1517,11.1515,ns,,,,,,1.11515e-08
"BM_btree/9",72528115,9.96024,9.95984,ns,,,,,,9.95984e-09
"BM_btree/10",77567411,9.06033,9.05993,ns,,,,,,9.05993e-09
"BM_btree/11",44188635,15.837,15.836,ns,,,,,,1.5836e-08
"BM_btree/12",52767105,13.2312,13.2304,ns,,,,,,1.32304e-08
"BM_btree/13",59272695,11.4927,11.4925,ns,,,,,,1.14925e-08
"BM_btree/14",64159366,10.9309,10.9304,ns,,,,,,1.09304e-08
"BM_btree/15",36761883,18.9678,18.9673,ns,,,,,,1.89673e-08
"BM_btree/16",40918228,16.8612,16.8604,ns,,,,,,1.68604e-08
"BM_btree/17",46855900,14.8548,14.8542,ns,,,,,,1.48542e-08
"BM_btree/18",50784811,13.8783,13.8779,ns,,,,,,1.38779e-08
"BM_btree/19",30238301,23.3803,23.3794,ns,,,,,,2.33794e-08
"BM_btree/20",31540508,22.6295,22.6281,ns,,,,,,2.26281e-08
"BM_btree/21",34374988,20.3704,20.3701,ns,,,,,,2.03701e-08
"BM_btree/22",35511421,19.621,19.6198,ns,,,,,,1.96198e-08
"BM_btree/23",22504564,31.0755,31.0733,ns,,,,,,3.10733e-08
"BM_btree/24",15611456,44.1776,44.1746,ns,,,,,,4.41746e-08
"BM_btree/25",10606346,64.8432,64.8374,ns,,,,,,6.48374e-08
"BM_btree/26",8609299,75.7149,75.7136,ns,,,,,,7.57136e-08
"BM_btree/27",6916985,98.0084,98.0068,ns,,,,,,9.80068e-08
"BM_btree/28",5152860,134.694,134.683,ns,,,,,,1.34683e-07
"BM_btree/29",4666947,147.637,147.632,ns,,,,,,1.47632e-07
"BM_btree/30",4175905,159.629,159.623,ns,,,,,,1.59623e-07
"BM_bplus/1",245828298,2.88528,2.88505,ns,,,,,,2.88505e-09
"BM_bplus/2",241872823,2.90565,2.90551,ns,,,,,,2.90551e-09
"BM_bplus/3",194968630,4.09072,4.09053,ns,,,,,,4.09053e-09
"BM_bplus/4",85506398,5.95138,5.95088,ns,,,,,,5.95088e-09
"BM_bplus/5",95853866,7.88512,7.88486,ns,,,,,,7.88486e-09
"BM_bplus/6",85927868,7.30113,7.3009,ns,,,,,,7.3009e-09
"BM_bplus/7",91055737,7.80669,7.80642,ns,,,,,,7.80642e-09
"BM_bplus/8",90518830,7.59166,7.59127,ns,,,,,,7.59127e-09
"BM_bplus/9",91079975,7.44808,7.44791,ns,,,,,,7.44791e-09
"BM_bplus/10",93443103,7.34942,7.34915,ns,,,,,,7.34915e-09
"BM_bplus/11",85235799,8.10991,8.10947,ns,,,,,,8.10947e-09
"BM_bplus/12",85367781,8.06623,8.06595,ns,,,,,,8.06595e-09
"BM_bplus/13",85867357,8.04862,8.04816,ns,,,,,,8.04816e-09
"BM_bplus/14",85746381,8.03676,8.03651,ns,,,,,,8.03651e-09
"BM_bplus/15",77575247,8.91222,8.91186,ns,,,,,,8.91186e-09
"BM_bplus/16",76852017,9.02346,9.02298,ns,,,,,,9.02298e-09
"BM_bplus/17",76001493,9.17161,9.17143,ns,,,,,,9.17143e-09
"BM_bplus/18",75893899,9.25686,9.25638,ns,,,,,,9.25638e-09
"BM_bplus/19",66560925,10.7579,10.7576,ns,,,,,,1.07576e-08
"BM_bplus/20",62531585,11.3005,11.2997,ns,,,,,,1.12997e-08
"BM_bplus/21",57287113,12.2644,12.2639,ns,,,,,,1.22639e-08
"BM_bplus/22",52175426,13.2662,13.2654,ns,,,,,,1.32654e-08
"BM_bplus/23",42465584,16.3649,16.3634,ns,,,,,,1.63634e-08
"BM_bplus/24",20427840,34.7107,34.7097,ns,,,,,,3.47097e-08
"BM_bplus/25",12885564,54.0179,54.0153,ns,,,,,,5.40153e-08
"BM_bplus/26",10533102,64.0852,64.081,ns,,,,,,6.4081e-08
"BM_bplus/27",8204160,83.6341,83.6327,ns,,,,,,8.36327e-08
"BM_bplus/28",6790656,102.243,102.232,ns,,,,,,1.02232e-07
"BM_bplus/29",6109290,113.971,113.967,ns,,,,,,1.13967e-07
"BM_bplus/30",5445678,125.958,125.998,ns,,,,,,1.25998e-07
"BM_batching_bplus_4/1",57367117,12.0606,12.062,ns,,3.3162e+08,,,,3.0155e-09
"BM_batching_bplus_4/2",58595095,11.9016,11.9034,ns,,3.36039e+08,,,,2.97584e-09
"BM_batching_bplus_4/3",44111382,13.724,13.7274,ns,,2.91387e+08,,,,3.43186e-09
"BM_batching_bplus_4/4",20880904,25.7815,25.7904,ns,,1.55097e+08,,,,6.44759e-09
"BM_batching_bplus_4/5",20474088,34.7037,34.7167,ns,,1.15218e+08,,,,8.67917e-09
"BM_batching_bplus_4/6",21563508,30.2028,30.2133,ns,,1.32392e+08,,,,7.55333e-09
"BM_batching_bplus_4/7",19295017,31.2828,31.2947,ns,,1.27817e+08,,,,7.82368e-09
"BM_batching_bplus_4/8",21672970,32.2053,32.2168,ns,,1.24159e+08,,,,8.05421e-09
"BM_batching_bplus_4/9",21879967,31.765,31.7771,ns,,1.25877e+08,,,,7.94428e-09
"BM_batching_bplus_4/10",21949004,31.6443,31.6552,ns,,1.26362e+08,,,,7.91379e-09
"BM_batching_bplus_4/11",19134119,36.9219,36.9357,ns,,1.08296e+08,,,,9.23392e-09
"BM_batching_bplus_4/12",19145913,36.5529,36.5656,ns,,1.09393e+08,,,,9.14139e-09
"BM_batching_bplus_4/13",19420558,36.0727,36.0861,ns,,1.10846e+08,,,,9.02153e-09
"BM_batching_bplus_4/14",19277512,36.1376,36.1505,ns,,1.10649e+08,,,,9.03762e-09
"BM_batching_bplus_4/15",16687755,42.0064,42.022,ns,,9.51883e+07,,,,1.05055e-08
"BM_batching_bplus_4/16",16551883,41.9013,41.9168,ns,,9.54271e+07,,,,1.04792e-08
"BM_batching_bplus_4/17",16597408,42.1244,42.1378,ns,,9.49266e+07,,,,1.05345e-08
"BM_batching_bplus_4/18",16442710,42.6724,42.688,ns,,9.37031e+07,,,,1.0672e-08
"BM_batching_bplus_4/19",10000000,51.5999,51.6171,ns,,7.74936e+07,,,,1.29043e-08
"BM_batching_bplus_4/20",13336936,52.1289,52.1477,ns,,7.67051e+07,,,,1.30369e-08
"BM_batching_bplus_4/21",12956090,54.1319,54.1507,ns,,7.38679e+07,,,,1.35377e-08
"BM_batching_bplus_4/22",12549152,56.2338,56.2526,ns,,7.11079e+07,,,,1.40631e-08
"BM_batching_bplus_4/23",10116721,65.9234,65.9448,ns,,6.06568e+07,,,,1.64862e-08
"BM_batching_bplus_4/24",5164856,140.999,141.049,ns,,2.83589e+07,,,,3.52622e-08
"BM_batching_bplus_4/25",3251227,207.598,207.657,ns,,1.92625e+07,,,,5.19142e-08
"BM_batching_bplus_4/26",2920246,237.131,237.21,ns,,1.68627e+07,,,,5.93026e-08
"BM_batching_bplus_4/27",2224485,313.885,313.984,ns,,1.27395e+07,,,,7.84961e-08
"BM_batching_bplus_4/28",1837636,372.702,372.806,ns,,1.07294e+07,,,,9.32015e-08
"BM_batching_bplus_4/29",1690785,406.62,406.707,ns,,9.83509e+06,,,,1.01677e-07
"BM_batching_bplus_4/30",1562252,447.328,447.379,ns,,8.94097e+06,,,,1.11845e-07
"BM_batching_bplus_8/1",46789400,14.8645,14.8653,ns,,5.38165e+08,,,,1.85816e-09
"BM_batching_bplus_8/2",59960438,11.5787,11.5801,ns,,6.90843e+08,,,,1.44751e-09
"BM_batching_bplus_8/3",23976682,50.1793,50.1855,ns,,1.59409e+08,,,,6.27319e-09
"BM_batching_bplus_8/4",10000000,60.3719,60.3799,ns,,1.32494e+08,,,,7.54748e-09
"BM_batching_bplus_8/5",11617211,49.5219,49.5286,ns,,1.61523e+08,,,,6.19108e-09
"BM_batching_bplus_8/6",10989914,58.6057,58.6111,ns,,1.36493e+08,,,,7.32639e-09
"BM_batching_bplus_8/7",9429127,70.8335,70.8441,ns,,1.12924e+08,,,,8.85552e-09
"BM_batching_bplus_8/8",10464374,70.2707,70.2811,ns,,1.13829e+08,,,,8.78514e-09
"BM_batching_bplus_8/9",10419875,67.0982,67.1076,ns,,1.19211e+08,,,,8.38845e-09
